Latitude (decimal degrees):	32.881
Longitude (decimal degrees):	-117.233
Elevation (m):	109
Radiation database:	PVGIS-ERA5


Slope: 31 deg. (optimum)
Azimuth: 3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	84.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220101:0030,4517.52,85.37,3.42,13.02,6.83,0.0
20220101:0130,0.0,0.0,0.0,12.36,5.86,0.0
20220101:0230,0.0,0.0,0.0,12.04,5.31,0.0
20220101:0330,0.0,0.0,0.0,11.78,5.24,0.0
20220101:0430,0.0,0.0,0.0,11.59,5.03,0.0
20220101:0530,0.0,0.0,0.0,11.51,4.69,0.0
20220101:0630,0.0,0.0,0.0,11.55,4.41,0.0
20220101:0730,0.0,0.0,0.0,11.73,3.86,0.0
20220101:0830,0.0,0.0,0.0,11.77,3.03,0.0
20220101:0930,0.0,0.0,0.0,11.66,2.34,0.0
20220101:1030,0.0,0.0,0.0,11.54,1.93,0.0
20220101:1130,0.0,0.0,0.0,11.18,2.0,0.0
20220101:1230,0.0,0.0,0.0,10.67,2.07,0.0
20220101:1330,0.0,0.0,0.0,10.56,2.41,0.0
20220101:1430,0.0,0.0,-4.92,10.66,2.97,0.0
20220101:1530,9830.52,161.58,6.16,10.56,3.1,0.0
20220101:1630,22908.48,335.76,16.18,10.96,2.9,0.0
20220101:1730,44857.68,667.57,24.61,12.3,3.03,0.0
20220101:1830,52140.48,792.17,30.76,13.44,3.1,0.0
20220101:1930,59744.16,942.72,33.86,14.58,2.69,0.0
20220101:2030,57051.12,897.45,33.39,15.31,2.55,0.0
20220101:2130,53322.36,833.43,29.45,15.65,2.34,0.0
20220101:2230,44558.64,681.54,22.64,15.65,2.21,0.0
20220101:2330,30056.04,451.25,13.75,15.22,2.55,0.0
20220102:0030,10192.56,172.77,3.55,14.47,2.28,0.0
20220102:0130,0.0,0.0,0.0,13.48,1.66,0.0
20220102:0230,0.0,0.0,0.0,11.91,1.17,0.0
20220102:0330,0.0,0.0,0.0,10.55,1.59,0.0
20220102:0430,0.0,0.0,0.0,9.34,2.14,0.0
20220102:0530,0.0,0.0,0.0,8.99,2.62,0.0
20220102:0630,0.0,0.0,0.0,8.83,3.38,0.0
20220102:0730,0.0,0.0,0.0,8.84,3.45,0.0
20220102:0830,0.0,0.0,0.0,8.63,3.59,0.0
20220102:0930,0.0,0.0,0.0,8.44,3.24,0.0
20220102:1030,0.0,0.0,0.0,7.94,2.76,0.0
20220102:1130,0.0,0.0,0.0,7.4,2.76,0.0
20220102:1230,0.0,0.0,0.0,7.12,3.03,0.0
20220102:1330,0.0,0.0,0.0,6.81,3.38,0.0
20220102:1430,0.0,0.0,-4.96,6.49,3.59,0.0
20220102:1530,15268.68,237.31,6.13,6.27,3.72,0.0
20220102:1630,35474.04,510.25,16.17,7.09,3.52,0.0
20220102:1730,49680.12,738.91,24.63,9.63,2.83,0.0
20220102:1830,57527.4,898.48,30.8,12.36,2.14,0.0
20220102:1930,61077.24,978.17,33.93,13.76,2.0,0.0
20220102:2030,59996.16,972.02,33.49,14.97,1.66,0.0
20220102:2130,55051.08,882.07,29.57,15.68,1.45,0.0
20220102:2230,45841.32,711.88,22.77,16.01,1.59,0.0
20220102:2330,31033.8,468.61,13.88,15.76,2.28,0.0
20220103:0030,10738.56,180.61,3.69,14.62,2.9,0.0
20220103:0130,0.0,0.0,0.0,13.08,3.03,0.0
20220103:0230,0.0,0.0,0.0,11.8,2.41,0.0
20220103:0330,0.0,0.0,0.0,10.01,1.66,0.0
20220103:0430,0.0,0.0,0.0,9.45,1.38,0.0
20220103:0530,0.0,0.0,0.0,8.1,1.59,0.0
20220103:0630,0.0,0.0,0.0,6.82,1.86,0.0
20220103:0730,0.0,0.0,0.0,6.22,2.28,0.0
20220103:0830,0.0,0.0,0.0,5.86,2.28,0.0
20220103:0930,0.0,0.0,0.0,5.46,2.21,0.0
20220103:1030,0.0,0.0,0.0,5.28,2.14,0.0
20220103:1130,0.0,0.0,0.0,5.15,2.07,0.0
20220103:1230,0.0,0.0,0.0,5.04,2.0,0.0
20220103:1330,0.0,0.0,0.0,5.15,1.79,0.0
20220103:1430,0.0,0.0,-4.99,5.53,1.72,0.0
20220103:1530,15208.2,237.75,6.12,5.83,1.66,0.0
20220103:1630,34903.68,511.2,16.17,7.21,1.45,0.0
20220103:1730,48196.68,740.47,24.65,10.83,0.97,0.0
20220103:1830,56957.04,901.84,30.86,13.27,1.66,0.0
20220103:1930,61330.08,979.28,34.01,13.87,2.21,0.0
20220103:2030,61361.16,971.06,33.6,14.3,2.76,0.0
20220103:2130,56603.4,879.2,29.7,14.52,2.97,0.0
20220103:2230,46948.44,708.06,22.91,14.52,3.31,0.0
20220103:2330,31357.2,465.49,14.02,14.18,3.52,0.0
20220104:0030,10756.2,179.67,3.83,13.55,3.1,0.0
20220104:0130,0.0,0.0,0.0,12.45,3.52,0.0
20220104:0230,0.0,0.0,0.0,11.61,3.59,0.0
20220104:0330,0.0,0.0,0.0,11.01,2.62,0.0
20220104:0430,0.0,0.0,0.0,9.74,1.52,0.0
20220104:0530,0.0,0.0,0.0,11.09,0.55,0.0
20220104:0630,0.0,0.0,0.0,10.79,0.62,0.0
20220104:0730,0.0,0.0,0.0,10.85,1.03,0.0
20220104:0830,0.0,0.0,0.0,10.38,1.03,0.0
20220104:0930,0.0,0.0,0.0,9.5,1.38,0.0
20220104:1030,0.0,0.0,0.0,9.56,1.24,0.0
20220104:1130,0.0,0.0,0.0,7.47,1.59,0.0
20220104:1230,0.0,0.0,0.0,6.57,1.79,0.0
20220104:1330,0.0,0.0,0.0,6.12,1.79,0.0
20220104:1430,0.0,0.0,-5.02,5.62,1.86,0.0
20220104:1530,13596.24,214.27,6.1,5.91,1.66,0.0
20220104:1630,32746.56,481.24,16.17,8.01,1.17,0.0
20220104:1730,45897.6,709.12,24.68,11.06,0.34,0.0
20220104:1830,52765.44,841.17,30.92,12.81,0.55,0.0
20220104:1930,58474.92,929.89,34.1,13.57,1.79,0.0
20220104:2030,59104.08,935.85,33.72,14.0,2.21,0.0
20220104:2130,54201.0,840.33,29.83,14.2,2.48,0.0
20220104:2230,45337.32,682.92,23.05,14.19,2.9,0.0
20220104:2330,30105.6,447.39,14.16,13.94,2.97,0.0
20220105:0030,10241.28,171.75,3.97,13.43,2.76,0.0
20220105:0130,0.0,0.0,0.0,12.53,2.28,0.0
20220105:0230,0.0,0.0,0.0,11.73,1.86,0.0
20220105:0330,0.0,0.0,0.0,10.69,1.93,0.0
20220105:0430,0.0,0.0,0.0,9.78,2.07,0.0
20220105:0530,0.0,0.0,0.0,9.41,1.79,0.0
20220105:0630,0.0,0.0,0.0,9.92,1.45,0.0
20220105:0730,0.0,0.0,0.0,9.08,1.72,0.0
20220105:0830,0.0,0.0,0.0,8.39,1.79,0.0
20220105:0930,0.0,0.0,0.0,8.01,1.79,0.0
20220105:1030,0.0,0.0,0.0,7.95,1.66,0.0
20220105:1130,0.0,0.0,0.0,8.59,1.38,0.0
20220105:1230,0.0,0.0,0.0,9.86,1.1,0.0
20220105:1330,0.0,0.0,0.0,9.93,0.9,0.0
20220105:1430,0.0,0.0,-5.04,9.96,1.1,0.0
20220105:1530,13578.6,217.16,6.1,8.59,1.38,0.0
20220105:1630,32259.36,479.06,16.19,10.07,1.1,0.0
20220105:1730,45239.88,703.88,24.72,12.16,0.21,0.0
20220105:1830,54180.84,869.98,30.98,14.5,0.9,0.0
20220105:1930,58658.88,951.67,34.2,15.6,1.52,0.0
20220105:2030,59041.92,948.07,33.84,16.28,2.21,0.0
20220105:2130,54531.12,860.1,29.97,16.72,2.41,0.0
20220105:2230,45250.8,693.24,23.19,16.84,2.69,0.0
20220105:2330,30332.4,456.41,14.31,16.45,2.97,0.0
20220106:0030,10469.76,176.56,4.12,15.47,2.55,0.0
20220106:0130,0.0,0.0,0.0,14.35,2.0,0.0
20220106:0230,0.0,0.0,0.0,13.14,1.59,0.0
20220106:0330,0.0,0.0,0.0,11.73,1.24,0.0
20220106:0430,0.0,0.0,0.0,11.13,1.24,0.0
20220106:0530,0.0,0.0,0.0,9.45,1.93,0.0
20220106:0630,0.0,0.0,0.0,8.97,2.28,0.0
20220106:0730,0.0,0.0,0.0,9.25,1.59,0.0
20220106:0830,0.0,0.0,0.0,9.25,1.45,0.0
20220106:0930,0.0,0.0,0.0,9.37,1.45,0.0
20220106:1030,0.0,0.0,0.0,7.91,1.93,0.0
20220106:1130,0.0,0.0,0.0,7.29,2.21,0.0
20220106:1230,0.0,0.0,0.0,7.13,2.14,0.0
20220106:1330,0.0,0.0,0.0,7.28,2.0,0.0
20220106:1430,0.0,0.0,-5.06,7.0,2.28,0.0
20220106:1530,13962.48,220.61,6.09,7.01,2.48,0.0
20220106:1630,33288.36,486.56,16.21,8.21,1.93,0.0
20220106:1730,46000.92,713.12,24.76,13.28,0.83,0.0
